basin,Temperate-or-sub-polar-needleleaf-forest,Sub-polar-taiga-needleleaf-forest,Tropical-or-sub-tropical-broadleaf-evergreen-forest,Tropical-or-sub-tropical-broadleaf-deciduous-forest,Temperate-or-sub-polar-broadleaf-deciduous-forest,Mixed-Forest,Tropical-or-sub-tropical-shrubland,Temperate-or-sub-polar-shrubland,Tropical-or-sub-tropical-grassland,Temperate-or-sub-polar-grassland,Sub-polar-or-polar-shrubland-lichen-moss,Sub-polar-or-polar-grassland-lichen-moss,Sub-polar-or-polar-barren-lichen-moss,Wetland,Cropland,Barren-Lands,Urban-and-Built-up,Water,Snow-and-Ice,mean_elev,mean_slope,std_elev,std_slope,area_km2,BD,CLAY,GRAV,OC,SAND,SILT,gauge_lat,gauge_lon
04258000,0.16866856118901558,0.0,0.0,0.0,0.4732070636573826,0.09743666831303999,0.0,0.01980539390078334,0.0,0.0049355409052190035,0.0,0.0,0.0,0.10431564555729737,0.041148595929878816,0.00578736014774411,0.012259516157126053,0.07243565424251318,0.0,515.7741320671015,3.8064442951014112,110.01873840524347,3.1164791991406675,754.375137862924,157.2444490131579,6.6293174342105265,23.39782072368421,168.67783717105263,64.29050164473684,28.10670230263158,43.8972222,-75.4041667
02FE009,0.0013419614423651896,0.0,0.0,0.0,0.08714869118199223,0.007187258087693356,0.0,0.0025518126909224075,0.0,0.00010661524412573182,0.0,0.0,0.0,0.00300608633980596,0.8478600466325807,0.002600484867588502,0.03860862470970523,0.009588418803220708,0.0,325.0199284947012,0.9111945905571257,17.87798658652068,0.7208065973405121,388.3107017482886,156.11084142394822,25.882686084142396,0.0,52.43122977346278,30.472491909385113,41.55987055016181,43.6843605,-81.54116821
04072150,0.0002586078278600202,0.0,0.0,0.0,0.0534655106675729,0.0008918654576198133,0.0,0.000696251844238516,0.0,0.0017837309152396266,0.0,0.0,0.0,0.10369510800192298,0.7638744757389387,0.0037796528687233724,0.07052368085141654,0.0010311158264675166,0.0,237.31672928076767,1.019172733865359,11.70801390467573,0.7603100882331786,271.46212153620047,176.9340909090909,29.475,11.257954545454545,290.9340909090909,39.075568181818184,31.2375,44.53338889,-88.1296944
04166500,0.0038961576213882507,0.0,0.0,0.0,0.1686554871513296,0.01973275969056385,0.0,0.0009966040247759522,0.0,0.00359341564405065,0.0,0.0,0.0,0.14730183563179053,0.031517132187301386,0.002709634716419145,0.5138621978691478,0.10773477546323283,0.0,302.20713945865936,1.588302095924526,17.385050724030243,1.1651394452550172,478.6312410289687,151.1901455026455,16.18882275132275,12.307539682539682,410.66732804232805,62.49933862433863,19.91468253968254,42.373092299999996,-83.25465129999999
04177000,0.00028364011955698626,0.0,0.0,0.0,0.07189741860732701,0.002081811443540899,0.0,6.154455424349701e-05,0.0,0.0047094963247197716,0.0,0.0,0.0,0.010467925921763493,0.45078174963140166,0.00844230733209709,0.44684824986018684,0.004425856205162786,0.0,202.88487369304738,0.7374167106612081,10.453652692281755,0.7157049843313604,336.3677736323639,175.9247104247104,28.80212355212355,5.132239382239383,84.96476833976834,41.532335907335906,28.844111969111967,41.65968056,-83.61254720000001
02CD001,0.06766587069626086,0.0,0.0,0.0,0.26854728452371884,0.4140862322038796,0.0,0.02730715208881132,0.0,0.005831046296149871,0.0,0.0,0.0,0.021224519722191474,7.26005517641934e-05,0.0003062161886291722,0.014763070615178259,0.18019600711341643,0.0,336.86108108108107,3.643101280772994,62.45704086259659,2.9805381496016166,1252.0486603358197,164.24479166666666,1.75,1.75,20.0,89.0,7.75,46.2107811,-82.51242065
04087240,0.0005907712493556744,0.0,0.0,0.0,0.08900730347232914,0.00840133618063877,0.0,0.0025890173449099954,0.0,0.027383000515460467,0.0,0.0,0.0,0.0695654065778111,0.46045514489794553,0.003072679925827247,0.33408197829710606,0.004853361538616022,0.0,226.67372483693867,1.122137906530989,14.32396239527509,0.8121033465373008,537.7694134337797,172.61432748538013,35.1187134502924,7.075146198830409,293.25877192982455,16.56345029239766,47.912573099415205,42.75138889,-87.8236111
04215000,0.011568377881487768,0.0,0.0,0.0,0.3280264460472352,0.08685122330646301,0.0,0.005080610946117946,0.0,0.001396549285815302,0.0,0.0,0.0,0.07559751096026021,0.4161929005798331,0.000859142978362325,0.0705451845566398,0.0038820534577853204,0.0,336.40932180290906,1.9463949404356147,83.93061732612894,1.5533049542341566,254.5528545077537,165.27722772277227,21.865717821782177,28.268564356435643,27.030321782178216,33.04517326732673,44.649752475247524,42.89,-78.645
02FA001,0.017333627178475003,0.0,0.0,0.0,0.12499162638431643,0.10883855766047489,0.0,0.004433890182821515,0.0,0.00014854066082147839,0.0,0.0,0.0,0.012404601459581893,0.6556380889321674,0.002044618507777997,0.034900259315101344,0.039266189718462054,0.0,231.88241010047594,1.3299778782136615,24.687192579973136,1.086155970853762,927.037795150102,152.51655629139074,21.197682119205297,6.217218543046358,183.63294701986754,40.43658940397351,37.453973509933775,44.67752838,-81.25605774
02HL004,0.04639951792708647,0.0,0.0,0.0,0.2880158012788323,0.46890027116601385,0.0,0.024521442201466306,0.0,0.005831743162264404,0.0,0.0,0.0,0.04071105754745405,0.01136754711927957,0.018547755347996384,0.012701282180040843,0.0830035820695658,0.0,276.5524343888111,1.977825181530983,55.94465402276699,1.358560135740345,672.1034323763704,153.4709090909091,3.3536363636363635,2.3036363636363637,20.19090909090909,85.2009090909091,9.907272727272728,44.54956818,-77.32813263
04040500,0.058458998806303925,0.0,0.0,0.0,0.2339342107251326,0.20863049817923573,0.0,0.010119974010667714,0.0,0.03375402305797737,0.0,0.0,0.0,0.39645253169338635,0.012764237469968721,0.0010067088741481695,0.022489460721355072,0.02238935646182439,0.0,492.34162940884255,1.6421954286334248,50.76191645000088,1.3964211526317933,476.50112914470947,146.2574719800747,9.525529265255292,23.934931506849313,761.255603985056,58.66376089663761,31.709215442092155,46.58410589,-88.57596973
